re,f_re,R,F1,F2,F3,F4,delta_f,F4_pred,F4_act/pred,ulp_f,F1/ulp,F4/ulp
2.0307142857142857,0.01512486809708058,0.12298320249969334,0.0,0.0,0.0,1.6653345369377348e-16,3.9898639947466563e-17,1.6221174573643928e-16,1.0266423860843967,1.734723475976807e-18,0.0,96.0
2.0316326530612243,0.0155700652938221,0.12478006769441223,0.0,0.0,0.0,-6.938893903907228e-17,-1.5612511283791264e-17,-6.256011706143034e-17,1.1091561572836643,1.734723475976807e-18,0.0,-40.0
2.032551020408163,0.016014860183743984,0.12654983280804438,3.469446951953614e-18,0.0,0.0,-8.326672684688674e-17,-2.0816681711721685e-17,-8.224697437292242e-17,1.012398662464355,3.469446951953614e-18,1.0,-24.0
2.033469387755102,0.016459253311922883,0.12829362147793197,3.469446951953614e-18,0.0,0.0,-5.551115123125783e-17,-1.734723475976807e-17,-6.760754961910559e-17,0.8210791774587646,3.469446951953614e-18,1.0,-16.0
2.0343877551020406,0.01690324522245057,0.13001248102567142,3.469446951953614e-18,0.0,0.0,-1.942890293094024e-16,-5.551115123125783e-17,-2.1348393167074843e-16,0.9100873671797,3.469446951953614e-18,1.0,-56.0
2.0353061224489792,0.017346836458437598,0.13170738953618966,3.469446951953614e-18,0.0,0.0,-5.551115123125783e-17,-1.3877787807814457e-17,-5.268416546970287e-17,1.0536591162895173,3.469446951953614e-18,1.0,-16.0
2.0362244897959183,0.017790027562014532,0.13337926211377288,-3.469446951953614e-18,0.0,0.0,1.1102230246251565e-16,3.122502256758253e-17,1.170535136899599e-16,0.9484747528090516,3.469446951953614e-18,-1.0,32.0
2.037142857142857,0.018232819074333717,0.13502895642910714,0.0,0.0,0.0,8.326672684688674e-17,2.42861286636753e-17,8.992933555117118e-17,0.9259128440853062,3.469446951953614e-18,0.0,24.0
2.0380612244897955,0.018675211535572833,0.13665727765315988,-3.469446951953614e-18,0.0,0.0,-5.551115123125783e-17,-1.0408340855860843e-17,-3.808191204524618e-17,1.457677628300372,3.469446951953614e-18,-1.0,-16.0
2.0389795918367346,0.01911720548493645,0.13826498285877176,-3.469446951953614e-18,0.0,0.0,1.6653345369377348e-16,4.85722573273506e-17,1.7564916410167223e-16,0.9481027396030064,3.469446951953614e-18,-1.0,48.0
2.0398979591836732,0.019558801460657138,0.1398527849585311,3.469446951953614e-18,0.0,0.0,-1.3877787807814457e-16,-4.163336342344337e-17,-1.4884710174269474e-16,0.9323518997235406,3.469446951953614e-18,1.0,-40.0
2.0408163265306123,0.020000000000000018,0.14142135623730956,-3.469446951953614e-18,0.0,0.0,-2.7755575615628914e-17,-3.469446951953614e-18,-1.2266347333466988e-17,2.262741699796953,3.469446951953614e-18,-1.0,-8.0
2.041734693877551,0.020440801639262318,0.14297133152930458,3.469446951953614e-18,0.0,0.0,1.3877787807814457e-16,3.8163916471489756e-17,1.334670246939239e-16,1.0397915020313062,3.469446951953614e-18,1.0,40.0
2.0426530612244895,0.020881206913777484,0.14450331108240214,0.0,0.0,0.0,2.7755575615628914e-17,1.0408340855860843e-17,3.6014195030886e-17,0.7706843257728114,3.469446951953614e-18,0.0,8.0
2.0435714285714286,0.02132121635791684,0.14601786314666038,0.0,0.0,0.0,5.551115123125783e-17,1.734723475976807e-17,5.940107047842668e-17,0.9345143241386265,3.469446951953614e-18,0.0,16.0
2.044489795918367,0.02176083050509081,0.14751552631872622,-3.469446951953614e-18,0.0,0.0,1.1102230246251565e-16,3.8163916471489756e-17,1.293555919972509e-16,0.8582721531271345,3.469446951953614e-18,-1.0,32.0
2.045408163265306,0.02220004988775237,0.14899681166975476,-3.469446951953614e-18,0.0,0.0,-1.6653345369377348e-16,-4.85722573273506e-17,-1.629976399596019e-16,1.0216924228783184,3.469446951953614e-18,-1.0,-48.0
2.046326530612245,0.02263887503739903,0.15046220468077368,0.0,0.0,0.0,2.7755575615628914e-17,6.938893903907228e-18,2.305859441123121e-17,1.2036976374461894,3.469446951953614e-18,0.0,8.0
2.0472448979591835,0.023077306484573512,0.15191216700637744,0.0,0.0,0.0,-2.7755575615628914e-17,-6.938893903907228e-18,-2.283850609416929e-17,1.2152973360510195,3.469446951953614e-18,0.0,-8.0
2.048163265306122,0.023515344758867962,0.15334713808502579,3.469446951953614e-18,0.0,0.0,1.3877787807814457e-16,3.469446951953614e-17,1.13123955076029e-16,1.2267771046802063,3.469446951953614e-18,1.0,40.0
2.049081632653061,0.023952990388924844,0.15476753661192919,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,N/A,3.469446951953614e-18,-1.0,0.0
2.05,0.024390243902438935,0.15617376188860577,-3.469446951953614e-18,0.0,0.0,-2.7755575615628914e-17,-3.469446951953614e-18,-1.1107649934270875e-17,2.4987801902176923,3.469446951953614e-18,-1.0,-8.0
2.055172413793103,0.026845637583892468,0.16384638410380764,0.0,0.0,0.0,2.7755575615628914e-17,6.938893903907228e-18,2.117499858742984e-17,1.3107710728304611,3.469446951953614e-18,0.0,8.0
2.060344827586207,0.029288702928870314,0.17113942540767837,-3.469446951953614e-18,0.0,0.0,1.1102230246251565e-16,4.163336342344337e-17,1.2163580462031701e-16,0.9127436021742847,3.469446951953614e-18,-1.0,32.0
2.06551724137931,0.03171953255425697,0.17809978257779252,0.0,0.0,0.0,-1.1102230246251565e-16,-3.469446951953614e-17,-9.740177393080726e-17,1.139838608497872,6.938893903907228e-18,0.0,-16.0
2.070689655172414,0.03413821815154039,0.1847653055948015,0.0,0.0,0.0,-8.326672684688674e-17,-3.469446951953614e-17,-9.388794451384355e-17,0.8868734668550473,6.938893903907228e-18,0.0,-12.0
2.075862068965517,0.03654485049833889,0.191167074828117,0.0,0.0,0.0,1.3877787807814457e-16,4.85722573273506e-17,1.2704137825779649e-16,1.0923832847320973,6.938893903907228e-18,0.0,20.0
2.0810344827586205,0.0389395194697596,0.19733098963355858,6.938893903907228e-18,0.0,0.0,-8.326672684688674e-17,-3.469446951953614e-17,-8.79093283421002e-17,0.9471887502410812,6.938893903907228e-18,1.0,-12.0
2.086206896551724,0.04132231404958675,0.20327890704543536,0.0,0.0,0.0,-1.3877787807814457e-16,-5.551115123125783e-17,-1.3653937842860006e-16,1.0163945352271768,6.938893903907228e-18,0.0,-20.0
2.0913793103448275,0.04369332234130252,0.20902947720669093,6.938893903907228e-18,0.0,0.0,2.7755575615628914e-17,6.938893903907228e-18,1.6597883697154263e-17,1.6722358176535275,6.938893903907228e-18,1.0,4.0
2.096551724137931,0.046052631578947234,0.21459876881973772,0.0,0.0,0.0,-5.551115123125783e-17,-2.0816681711721685e-17,-4.8501400604976516e-17,1.1445267670386012,6.938893903907228e-18,0.0,-8.0
2.1017241379310345,0.048400328137817916,0.22000074576650397,0.0,0.0,0.0,2.7755575615628914e-17,1.3877787807814457e-17,3.154031991905958e-17,0.8800029830660159,6.938893903907228e-18,0.0,4.0
2.106896551724138,0.050736497545008086,0.22524763604754675,-6.938893903907228e-18,0.0,0.0,-1.1102230246251565e-16,-4.163336342344337e-17,-9.241687094699437e-17,1.201320725586916,6.938893903907228e-18,-1.0,-16.0
2.1120689655172415,0.053061224489796,0.23035022137995873,-6.938893903907228e-18,0.0,0.0,0.0,6.938893903907228e-18,1.5061617614991656e-17,0.0,6.938893903907228e-18,-1.0,0.0
2.117241379310345,0.055374592833876246,0.23531806737663866,6.938893903907228e-18,0.0,0.0,5.551115123125783e-17,2.0816681711721685e-17,4.423094653077258e-17,1.255029692675406,6.938893903907228e-18,1.0,8.0
2.122413793103448,0.0576766856214459,0.2401597085721206,0.0,0.0,0.0,-2.7755575615628914e-17,-1.3877787807814457e-17,-2.889283112959583e-17,0.9606388342884824,6.938893903907228e-18,0.0,-4.0
2.127586206896552,0.05996758508914102,0.24488279867957452,6.938893903907228e-18,0.0,0.0,-8.326672684688674e-17,-4.85722573273506e-17,-9.917449814616557e-17,0.8395981669013983,6.938893903907228e-18,1.0,-12.0
2.132758620689655,0.06224737267582858,0.24949423375266327,0.0,0.0,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,-5.562368155398828e-17,0.9979769350106531,6.938893903907228e-18,0.0,-8.0
2.1379310344827585,0.06451612903225801,0.2540002540003809,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,2.7318452618149045e-17,2.032002032003047,1.3877787807814457e-17,0.0,4.0
